match_index,time_seconds,team_name,paradigm,alive_agents,cumulative_eliminations,cumulative_accuracy,cumulative_win_rate,obstacle_count
10,8.3,Equipe 2,CTDE-CAC,1,28,0.1044776119402985,0.4444444444444444,8
10,8.3,Equipe 3,CTDE-Comm,1,26,0.13,0.3333333333333333,8
10,8.4,Equipe 1,CTDE-VD,0,21,0.09251101321585903,0.2222222222222222,8
10,8.4,Equipe 2,CTDE-CAC,1,28,0.1044776119402985,0.4444444444444444,8
10,8.4,Equipe 3,CTDE-Comm,1,26,0.13,0.3333333333333333,8
10,8.5,Equipe 1,CTDE-VD,0,21,0.09251101321585903,0.2222222222222222,8
10,8.5,Equipe 2,CTDE-CAC,1,28,0.1044776119402985,0.4444444444444444,8
10,8.5,Equipe 3,CTDE-Comm,1,26,0.13,0.3333333333333333,8
10,8.6,Equipe 1,CTDE-VD,0,21,0.09251101321585903,0.2222222222222222,8
10,8.6,Equipe 2,CTDE-CAC,1,28,0.1044776119402985,0.4444444444444444,8
10,8.6,Equipe 3,CTDE-Comm,1,26,0.13,0.3333333333333333,8
10,8.7,Equipe 1,CTDE-VD,0,21,0.09251101321585903,0.2222222222222222,8
10,8.7,Equipe 2,CTDE-CAC,1,28,0.1044776119402985,0.4444444444444444,8
10,8.7,Equipe 3,CTDE-Comm,1,26,0.13,0.3333333333333333,8
10,8.8,Equipe 1,CTDE-VD,0,21,0.09251101321585903,0.2222222222222222,8
10,8.8,Equipe 2,CTDE-CAC,1,28,0.1044776119402985,0.4444444444444444,8
10,8.8,Equipe 3,CTDE-Comm,1,26,0.13,0.3333333333333333,8
10,8.9,Equipe 1,CTDE-VD,0,21,0.09251101321585903,0.2222222222222222,8
10,8.9,Equipe 2,CTDE-CAC,1,28,0.1044776119402985,0.4444444444444444,8
10,8.9,Equipe 3,CTDE-Comm,1,26,0.13,0.3333333333333333,8
10,9.0,Equipe 1,CTDE-VD,0,21,0.09251101321585903,0.2222222222222222,8
10,9.0,Equipe 2,CTDE-CAC,1,28,0.1044776119402985,0.4444444444444444,8
10,9.0,Equipe 3,CTDE-Comm,1,26,0.13,0.3333333333333333,8
10,9.1,Equipe 1,CTDE-VD,0,21,0.09251101321585903,0.2222222222222222,8
10,9.1,Equipe 2,CTDE-CAC,1,28,0.1044776119402985,0.4444444444444444,8
10,9.1,Equipe 3,CTDE-Comm,1,26,0.13,0.3333333333333333,8
10,9.2,Equipe 1,CTDE-VD,0,21,0.09251101321585903,0.2222222222222222,8
10,9.2,Equipe 2,CTDE-CAC,1,28,0.1044776119402985,0.4444444444444444,8
10,9.2,Equipe 3,CTDE-Comm,1,26,0.13,0.3333333333333333,8
10,9.3,Equipe 1,CTDE-VD,0,21,0.09251101321585903,0.2222222222222222,8
10,9.3,Equipe 2,CTDE-CAC,1,28,0.1044776119402985,0.4444444444444444,8
10,9.3,Equipe 3,CTDE-Comm,1,26,0.13,0.3333333333333333,8
10,9.4,Equipe 1,CTDE-VD,0,21,0.09251101321585903,0.2222222222222222,8
10,9.4,Equipe 2,CTDE-CAC,1,28,0.1044776119402985,0.4444444444444444,8
10,9.4,Equipe 3,CTDE-Comm,1,26,0.13,0.3333333333333333,8
10,9.5,Equipe 1,CTDE-VD,0,21,0.09251101321585903,0.2222222222222222,8
10,9.5,Equipe 2,CTDE-CAC,1,28,0.1044776119402985,0.4444444444444444,8
10,9.5,Equipe 3,CTDE-Comm,1,26,0.13,0.3333333333333333,8
10,9.6,Equipe 1,CTDE-VD,0,21,0.09251101321585903,0.2222222222222222,8
10,9.6,Equipe 2,CTDE-CAC,1,28,0.1044776119402985,0.4444444444444444,8
10,9.6,Equipe 3,CTDE-Comm,1,26,0.13,0.3333333333333333,8
10,9.7,Equipe 1,CTDE-VD,0,21,0.09251101321585903,0.2222222222222222,8
10,9.7,Equipe 2,CTDE-CAC,1,28,0.1044776119402985,0.4444444444444444,8
10,9.7,Equipe 3,CTDE-Comm,1,26,0.13,0.3333333333333333,8
10,9.8,Equipe 1,CTDE-VD,0,21,0.09251101321585903,0.2222222222222222,8
10,9.8,Equipe 2,CTDE-CAC,1,28,0.1044776119402985,0.4444444444444444,8
10,9.8,Equipe 3,CTDE-Comm,1,26,0.13,0.3333333333333333,8
10,9.9,Equipe 1,CTDE-VD,0,21,0.09251101321585903,0.2222222222222222,8
10,9.9,Equipe 2,CTDE-CAC,1,28,0.1044776119402985,0.4444444444444444,8
10,9.9,Equipe 3,CTDE-Comm,1,26,0.13,0.3333333333333333,8
10,10.0,Equipe 1,CTDE-VD,0,21,0.09251101321585903,0.2222222222222222,8
10,10.0,Equipe 2,CTDE-CAC,1,28,0.1044776119402985,0.4444444444444444,8
10,10.0,Equipe 3,CTDE-Comm,1,26,0.13,0.3333333333333333,8
10,10.1,Equipe 1,CTDE-VD,0,21,0.09251101321585903,0.2222222222222222,8
10,10.1,Equipe 2,CTDE-CAC,1,28,0.1044776119402985,0.4444444444444444,8
10,10.1,Equipe 3,CTDE-Comm,1,26,0.13,0.3333333333333333,8
10,10.2,Equipe 1,CTDE-VD,0,21,0.09251101321585903,0.2222222222222222,8
